epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,1841.27,1.76724,3.1609,2.38999,1.50149,0,0.36553,0.23795,0.19388,0.09633,0.3457,0.21594,0.16658,0.05904,1.77858,2.96392,14.9029,1.52172,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1871.31,1.77325,3.16009,2.40652,1.50828,0,0.35586,0.24328,0.19602,0.09522,0.33828,0.22526,0.16803,0.06033,1.78178,2.97016,15.313,1.52184,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1901.14,1.76613,3.16287,2.39262,1.5008,0,0.33026,0.24656,0.18971,0.09427,0.33134,0.21274,0.16359,0.05939,1.78073,2.96419,14.3622,1.52241,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1931.34,1.75449,3.15455,2.38726,1.49523,0,0.35768,0.23952,0.196,0.09706,0.35138,0.21649,0.17158,0.06121,1.76219,2.9441,14.0656,1.49802,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1961.41,1.7539,3.14103,2.37371,1.49195,0,0.36735,0.23786,0.19421,0.09544,0.34161,0.21477,0.16844,0.06013,1.77364,2.96459,15.5437,1.51262,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1991.46,1.76497,3.14968,2.38724,1.49684,0,0.3503,0.24321,0.19441,0.09516,0.32211,0.22038,0.16493,0.05796,1.78128,2.96358,13.4855,1.51896,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2021.49,1.74134,3.13345,2.35743,1.48694,0,0.35274,0.24386,0.19212,0.09412,0.332,0.22696,0.16421,0.05754,1.76522,2.95906,15.2958,1.51241,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2051.7,1.74083,3.12703,2.37154,1.48981,0,0.36734,0.23631,0.19194,0.09591,0.34374,0.22801,0.16855,0.06028,1.77261,2.95637,13.9509,1.51755,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2081.69,1.75164,3.1128,2.34298,1.48718,0,0.36242,0.24494,0.20132,0.09995,0.34177,0.22218,0.16838,0.05974,1.76517,2.96866,14.5692,1.49702,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2111.58,1.74054,3.10138,2.33789,1.47661,0,0.37835,0.24159,0.20504,0.10068,0.342,0.22192,0.1743,0.06213,1.76333,2.94913,14.5891,1.49722,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2141.62,1.73107,3.10442,2.32913,1.4686,0,0.38318,0.23563,0.20248,0.09981,0.34819,0.21703,0.16998,0.06065,1.77364,2.96481,14.8114,1.50707,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2171.49,1.7231,3.09051,2.31421,1.4616,0,0.36584,0.24862,0.20226,0.10027,0.33129,0.22024,0.16717,0.06054,1.77023,2.95367,15.1768,1.50292,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2201.59,1.72979,3.10255,2.31077,1.46779,0,0.3667,0.25469,0.20338,0.09959,0.34562,0.22345,0.17169,0.0611,1.77677,2.94182,16.0901,1.50514,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2231.55,1.72463,3.07655,2.29145,1.46197,0,0.37028,0.26117,0.20603,0.10119,0.33444,0.23384,0.1724,0.06169,1.76946,2.93674,14.9621,1.50514,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2261.64,1.71482,3.06756,2.27975,1.45865,0,0.36206,0.26516,0.20513,0.10135,0.32457,0.23409,0.17017,0.06066,1.77908,2.95202,14.8304,1.50752,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2291.56,1.7192,3.07192,2.27925,1.46154,0,0.36964,0.24998,0.20357,0.10032,0.34719,0.22344,0.16981,0.0608,1.77215,2.9525,14.8273,1.50628,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2321.56,1.69684,3.07053,2.24258,1.4516,0,0.40085,0.24269,0.20123,0.0983,0.36173,0.22443,0.16849,0.05989,1.77681,2.94361,15.2566,1.51156,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2351.72,1.70561,3.05908,2.23411,1.45218,0,0.37489,0.24721,0.2003,0.09822,0.3435,0.22822,0.16567,0.05879,1.78369,2.96269,15.6348,1.51064,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2381.95,1.71897,3.03889,2.26536,1.45696,0,0.36215,0.24901,0.20133,0.099,0.34728,0.22645,0.17245,0.06148,1.77419,2.95204,15.4875,1.50058,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
