epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1964.78,1.74524,2.99344,2.73727,1.72246,0,0.34404,0.22339,0.18195,0.08505,0.33032,0.20208,0.15458,0.05763,1.77039,2.88676,6.12973,1.71575,0,0.0006337,0.0006337,0.0006337
39,2016.4,1.73298,2.99338,2.69923,1.71119,0,0.33491,0.23377,0.17761,0.08358,0.31368,0.21371,0.15031,0.05593,1.75492,2.87866,6.90596,1.69123,0,0.0006238,0.0006238,0.0006238
40,2068.01,1.74331,3.00833,2.72461,1.71822,0,0.356,0.23511,0.17877,0.08444,0.33273,0.21134,0.15095,0.05644,1.76946,2.89396,7.0407,1.6988,0,0.0006139,0.0006139,0.0006139
41,2119.02,1.73312,2.98307,2.66648,1.70916,0,0.33578,0.23089,0.17949,0.08475,0.30539,0.21437,0.1536,0.05692,1.75559,2.86179,6.47987,1.68684,0,0.000604,0.000604,0.000604
42,2170.05,1.72331,2.96367,2.69638,1.69474,0,0.34991,0.24598,0.18941,0.08812,0.32373,0.2136,0.15399,0.05697,1.75842,2.86054,7.08639,1.68756,0,0.0005941,0.0005941,0.0005941
43,2221.48,1.7278,2.96955,2.6503,1.70107,0,0.33253,0.23063,0.18002,0.08579,0.30532,0.21392,0.15254,0.05673,1.77123,2.86273,6.48631,1.69426,0,0.0005842,0.0005842,0.0005842
44,2273.08,1.72098,2.94911,2.63758,1.6854,0,0.32747,0.24109,0.18969,0.09039,0.33165,0.21696,0.16572,0.06263,1.75547,2.8509,6.91364,1.68141,0,0.0005743,0.0005743,0.0005743
45,2324.51,1.72128,2.94724,2.63445,1.69324,0,0.34682,0.24743,0.19187,0.09225,0.32857,0.22823,0.16435,0.05905,1.73933,2.84408,6.37463,1.67737,0,0.0005644,0.0005644,0.0005644
46,2376.16,1.70302,2.93769,2.67906,1.67922,0,0.33858,0.24932,0.19553,0.09341,0.32653,0.22768,0.16748,0.06096,1.75212,2.83085,6.5008,1.68497,0,0.0005545,0.0005545,0.0005545
47,2427.7,1.69625,2.9136,2.61737,1.67052,0,0.34683,0.23954,0.19208,0.09288,0.33673,0.21648,0.16378,0.06217,1.74654,2.83485,6.78942,1.67342,0,0.0005446,0.0005446,0.0005446
48,2479.2,1.70614,2.92546,2.59051,1.68085,0,0.36798,0.22219,0.18941,0.08996,0.34304,0.207,0.16326,0.0592,1.75694,2.8356,6.56225,1.68825,0,0.0005347,0.0005347,0.0005347
49,2530.77,1.69192,2.93425,2.57108,1.67808,0,0.35942,0.24385,0.19584,0.0939,0.33674,0.22037,0.16865,0.0624,1.74176,2.84131,6.06722,1.67799,0,0.0005248,0.0005248,0.0005248
50,2582.47,1.68514,2.90259,2.55294,1.66886,0,0.36827,0.24236,0.19955,0.09721,0.35846,0.22008,0.17288,0.06424,1.74344,2.84188,6.55919,1.67953,0,0.0005149,0.0005149,0.0005149
51,2633.93,1.68256,2.89809,2.55772,1.65994,0,0.35561,0.23141,0.19288,0.09379,0.33641,0.21277,0.16618,0.06189,1.73008,2.84623,6.83563,1.66741,0,0.000505,0.000505,0.000505
52,2685.43,1.68431,2.89697,2.55973,1.66179,0,0.35282,0.24141,0.19602,0.09371,0.33895,0.22852,0.17151,0.06256,1.74808,2.82477,6.52208,1.6749,0,0.0004951,0.0004951,0.0004951
53,2737.06,1.66832,2.87418,2.52817,1.65266,0,0.35172,0.25547,0.20352,0.09745,0.32967,0.23363,0.17309,0.06389,1.74394,2.83703,6.84141,1.66894,0,0.0004852,0.0004852,0.0004852
54,2788.58,1.66079,2.87581,2.49053,1.64567,0,0.37047,0.24459,0.19835,0.09585,0.34457,0.22506,0.16719,0.06243,1.74287,2.83652,6.39798,1.67494,0,0.0004753,0.0004753,0.0004753
55,2840.01,1.65149,2.8481,2.48345,1.63867,0,0.36492,0.24648,0.1974,0.0944,0.33956,0.22083,0.16765,0.06265,1.7455,2.84524,6.96882,1.67938,0,0.0004654,0.0004654,0.0004654
56,2891.36,1.65561,2.83745,2.48262,1.63792,0,0.36862,0.24691,0.20258,0.09641,0.32871,0.23138,0.16863,0.06251,1.75152,2.8347,6.48882,1.68133,0,0.0004555,0.0004555,0.0004555
